attendance_id,employee_id,month,working_days,present_days,leave_days,absent_days,late_days,expected_working_hours,actual_working_hours,overtime_hours,attendance_percentage
1,1001,2025-01,23,20,3,0,2,184,162,5,86.96
2,1001,2025-02,20,19,1,0,2,160,155,4,95.0
3,1001,2025-03,21,21,0,0,0,168,165,0,100.0
4,1001,2025-04,22,22,0,0,0,176,181,3,100.0
5,1001,2025-05,22,20,0,2,1,176,165,4,90.91
6,1001,2025-06,21,20,1,0,1,168,158,0,95.24
7,1001,2025-07,23,23,0,0,1,184,185,0,100.0
8,1001,2025-08,21,18,1,2,2,168,144,0,85.71
9,1001,2025-09,22,21,0,1,2,176,171,3,95.45
10,1001,2025-10,23,22,1,0,2,184,177,4,95.65
11,1001,2025-11,20,15,0,5,3,160,123,1,75.0
12,1001,2025-12,23,23,0,0,0,184,182,0,100.0
13,1002,2025-01,23,23,0,0,1,184,182,0,100.0
14,1002,2025-02,20,18,1,1,1,160,142,0,90.0
15,1002,2025-03,21,16,2,3,2,168,128,0,76.19
16,1002,2025-04,22,22,0,0,0,176,175,0,100.0
17,1002,2025-05,22,21,0,1,2,176,172,2,95.45
18,1002,2025-06,21,20,0,1,0,168,160,0,95.24
19,1002,2025-07,23,22,0,1,0,184,175,2,95.65
20,1002,2025-08,21,21,0,0,2,168,168,1,100.0
21,1002,2025-09,22,21,1,0,1,176,172,5,95.45
22,1002,2025-10,23,22,0,1,1,184,172,0,95.65
23,1002,2025-11,20,19,0,1,2,160,149,0,95.0
24,1002,2025-12,23,20,2,1,2,184,162,0,86.96
25,1003,2025-02,20,19,1,0,2,160,152,0,95.0
26,1003,2025-03,21,19,2,0,2,168,154,0,90.48
27,1003,2025-04,22,22,0,0,2,176,173,0,100.0
28,1003,2025-05,22,19,2,1,2,176,148,0,86.36
29,1003,2025-06,21,21,0,0,1,168,176,11,100.0
30,1003,2025-07,23,23,0,0,2,184,185,0,100.0
31,1003,2025-08,21,14,5,2,2,168,114,0,66.67
32,1003,2025-09,22,19,0,3,3,176,154,1,86.36
33,1003,2025-10,23,23,0,0,0,184,187,2,100.0
34,1003,2025-11,20,19,1,0,2,160,149,0,95.0
35,1003,2025-12,23,19,1,3,4,184,151,0,82.61
36,1004,2025-07,23,22,0,1,0,184,176,0,95.65
37,1004,2025-08,21,19,1,1,1,168,154,4,90.48
38,1004,2025-09,22,21,1,0,0,176,165,0,95.45
39,1004,2025-10,23,23,0,0,0,184,185,0,100.0
40,1004,2025-11,20,19,0,1,2,160,150,0,95.0
41,1004,2025-12,23,22,0,1,2,184,183,7,95.65
42,1005,2025-01,23,22,0,1,0,184,176,3,95.65
43,1005,2025-02,20,16,4,0,3,160,128,1,80.0
44,1005,2025-03,21,19,1,1,2,168,152,3,90.48
45,1005,2025-04,22,21,0,1,2,176,164,0,95.45
46,1005,2025-05,22,21,0,1,2,176,170,0,95.45
47,1005,2025-06,21,15,3,3,2,168,119,0,71.43
48,1005,2025-07,23,22,0,1,2,184,172,0,95.65
49,1005,2025-08,21,20,1,0,1,168,157,0,95.24
50,1005,2025-09,22,19,1,2,3,176,159,6,86.36
51,1005,2025-10,23,22,0,1,0,184,185,10,95.65
52,1005,2025-11,20,20,0,0,1,160,157,0,100.0
53,1005,2025-12,23,23,0,0,2,184,187,2,100.0
54,1006,2025-01,23,23,0,0,2,184,185,0,100.0
55,1006,2025-02,20,17,2,1,3,160,135,0,85.0
56,1006,2025-03,21,21,0,0,2,168,167,0,100.0
57,1006,2025-04,22,20,0,2,3,176,159,0,90.91
58,1006,2025-05,22,21,1,0,1,176,170,0,95.45
59,1006,2025-06,21,18,0,3,2,168,142,0,85.71
60,1006,2025-07,23,18,4,1,2,184,142,0,78.26
61,1006,2025-08,21,21,0,0,0,168,179,12,100.0
62,1006,2025-09,22,22,0,0,0,176,175,2,100.0
63,1006,2025-10,23,21,0,2,3,184,166,0,91.3
64,1006,2025-11,20,19,0,1,2,160,159,11,95.0
65,1006,2025-12,23,22,1,0,2,184,173,0,95.65
66,1007,2025-01,23,22,0,1,0,184,180,3,95.65
67,1007,2025-02,20,19,1,0,2,160,156,2,95.0
68,1007,2025-03,21,20,1,0,0,168,171,9,95.24
69,1007,2025-04,22,22,0,0,0,176,177,0,100.0
70,1007,2025-05,22,22,0,0,2,176,176,2,100.0
71,1007,2025-06,21,20,1,0,2,168,161,0,95.24
72,1007,2025-07,23,22,1,0,1,184,173,0,95.65
73,1007,2025-08,21,21,0,0,0,168,168,1,100.0
74,1007,2025-09,22,20,0,2,1,176,162,0,90.91
75,1007,2025-10,23,22,1,0,2,184,176,1,95.65
76,1007,2025-11,20,15,4,1,3,160,118,0,75.0
77,1007,2025-12,23,20,0,3,1,184,160,4,86.96
78,1008,2025-01,23,22,1,0,2,184,175,0,95.65
