salary_id,employee_id,month,basic_salary,hra,special_allowance,overtime_pay,gross_salary,tax_deduction,pf_deduction,leave_deduction,total_deductions,net_salary
1,1001,2025-01,55000,11000.0,8250.0,2500,76750.0,7675.0,6600.0,0.0,14275.0,62475.0
2,1001,2025-02,55000,11000.0,8250.0,2000,76250.0,7625.0,6600.0,0.0,14225.0,62025.0
3,1001,2025-03,55000,11000.0,8250.0,0,74250.0,7425.0,6600.0,0.0,14025.0,60225.0
4,1001,2025-04,55000,11000.0,8250.0,1500,75750.0,7575.0,6600.0,0.0,14175.0,61575.0
5,1001,2025-05,55000,11000.0,8250.0,2000,76250.0,7625.0,6600.0,5000.0,19225.0,57025.0
6,1001,2025-06,55000,11000.0,8250.0,0,74250.0,7425.0,6600.0,0.0,14025.0,60225.0
7,1001,2025-07,55000,11000.0,8250.0,0,74250.0,7425.0,6600.0,0.0,14025.0,60225.0
8,1001,2025-08,55000,11000.0,8250.0,0,74250.0,7425.0,6600.0,5238.1,19263.1,54986.9
9,1001,2025-09,55000,11000.0,8250.0,1500,75750.0,7575.0,6600.0,2500.0,16675.0,59075.0
10,1001,2025-10,55000,11000.0,8250.0,2000,76250.0,7625.0,6600.0,0.0,14225.0,62025.0
11,1001,2025-11,55000,11000.0,8250.0,500,74750.0,7475.0,6600.0,13750.0,27825.0,46925.0
12,1001,2025-12,55000,11000.0,8250.0,0,74250.0,7425.0,6600.0,0.0,14025.0,60225.0
13,1002,2025-01,60000,12000.0,9000.0,0,81000.0,8100.0,7200.0,0.0,15300.0,65700.0
14,1002,2025-02,60000,12000.0,9000.0,0,81000.0,8100.0,7200.0,3000.0,18300.0,62700.0
15,1002,2025-03,60000,12000.0,9000.0,0,81000.0,8100.0,7200.0,8571.43,23871.43,57128.57
16,1002,2025-04,60000,12000.0,9000.0,0,81000.0,8100.0,7200.0,0.0,15300.0,65700.0
17,1002,2025-05,60000,12000.0,9000.0,1000,82000.0,8200.0,7200.0,2727.27,18127.27,63872.73
18,1002,2025-06,60000,12000.0,9000.0,0,81000.0,8100.0,7200.0,2857.14,18157.14,62842.86
19,1002,2025-07,60000,12000.0,9000.0,1000,82000.0,8200.0,7200.0,2608.7,18008.7,63991.3
20,1002,2025-08,60000,12000.0,9000.0,500,81500.0,8150.0,7200.0,0.0,15350.0,66150.0
