attendance_id,employee_id,month,working_days,present_days,leave_days,absent_days,late_days,expected_working_hours,actual_working_hours,overtime_hours,attendance_percentage
1,1001,2025-01,23,18,4,1,2,184,147,4,78.26
2,1001,2025-02,20,17,1,2,1,160,132,0,85.0
3,1001,2025-03,21,21,0,0,0,168,168,0,100.0
4,1001,2025-04,22,18,4,0,4,176,142,0,81.82
5,1001,2025-05,22,22,0,0,0,176,173,0,100.0
6,1001,2025-06,21,21,0,0,2,168,164,0,100.0
7,1001,2025-07,23,23,0,0,1,184,190,7,100.0
8,1001,2025-08,21,18,0,3,2,168,144,0,85.71
9,1001,2025-09,22,22,0,0,0,176,178,2,100.0
10,1001,2025-10,23,21,0,2,1,184,166,2,91.3
11,1001,2025-11,20,20,0,0,0,160,161,5,100.0
12,1001,2025-12,23,22,0,1,2,184,178,0,95.65
13,1002,2025-01,23,22,0,1,2,184,176,0,95.65
14,1002,2025-02,20,20,0,0,0,160,160,0,100.0
15,1002,2025-03,21,21,0,0,1,168,166,0,100.0
16,1002,2025-04,22,21,0,1,2,176,166,0,95.45
17,1002,2025-05,22,22,0,0,1,176,174,0,100.0
18,1002,2025-06,21,20,0,1,2,168,157,0,95.24
19,1002,2025-07,23,22,0,1,1,184,173,0,95.65
20,1002,2025-08,21,18,2,1,1,168,140,0,85.71
21,1002,2025-09,22,22,0,0,1,176,179,2,100.0
22,1002,2025-10,23,21,0,2,1,184,171,2,91.3
23,1002,2025-11,20,20,0,0,0,160,156,0,100.0
24,1002,2025-12,23,22,1,0,0,184,173,0,95.65
25,1003,2025-01,23,21,0,2,1,184,169,0,91.3
26,1003,2025-02,20,19,1,0,1,160,153,0,95.0
27,1003,2025-03,21,20,1,0,2,168,163,7,95.24
28,1003,2025-04,22,21,0,1,1,176,169,0,95.45
29,1003,2025-05,22,20,0,2,2,176,159,0,90.91
30,1003,2025-06,21,20,0,1,1,168,161,0,95.24
31,1003,2025-07,23,23,0,0,1,184,184,4,100.0
32,1003,2025-08,21,20,0,1,1,168,160,0,95.24
33,1003,2025-09,22,22,0,0,0,176,177,0,100.0
34,1003,2025-10,23,22,1,0,0,184,176,4,95.65
35,1003,2025-11,20,20,0,0,1,160,163,4,100.0
36,1003,2025-12,23,23,0,0,1,184,193,8,100.0
37,1004,2025-01,23,22,0,1,0,184,177,0,95.65
38,1004,2025-02,20,20,0,0,2,160,157,0,100.0
39,1004,2025-03,21,17,1,3,3,168,141,4,80.95
40,1004,2025-04,22,21,0,1,1,176,167,0,95.45
41,1004,2025-05,22,22,0,0,2,176,176,0,100.0
42,1004,2025-06,21,21,0,0,2,168,164,0,100.0
43,1004,2025-07,23,23,0,0,1,184,186,2,100.0
44,1004,2025-08,21,21,0,0,1,168,168,0,100.0
45,1004,2025-09,22,19,3,0,1,176,150,0,86.36
46,1004,2025-10,23,22,0,1,2,184,177,0,95.65
47,1004,2025-11,20,20,0,0,1,160,170,11,100.0
48,1004,2025-12,23,21,1,1,3,184,173,9,91.3
49,1005,2025-01,23,23,0,0,0,184,185,2,100.0
50,1005,2025-02,20,20,0,0,2,160,156,0,100.0
51,1005,2025-03,21,18,2,1,3,168,145,0,85.71
52,1005,2025-04,22,18,1,3,2,176,140,0,81.82
53,1005,2025-05,22,18,0,4,3,176,142,0,81.82
54,1005,2025-06,21,19,0,2,3,168,153,0,90.48
55,1005,2025-07,23,17,4,2,4,184,133,0,73.91
56,1005,2025-08,21,20,0,1,2,168,165,9,95.24
57,1005,2025-09,22,22,0,0,1,176,175,0,100.0
58,1005,2025-10,23,22,1,0,0,184,172,0,95.65
59,1005,2025-11,20,19,1,0,0,160,151,3,95.0
60,1005,2025-12,23,23,0,0,1,184,185,0,100.0
61,1006,2025-01,23,22,1,0,2,184,177,2,95.65
62,1006,2025-02,20,20,0,0,1,160,162,0,100.0
63,1006,2025-03,21,21,0,0,0,168,168,1,100.0
64,1006,2025-04,22,22,0,0,1,176,178,0,100.0
65,1006,2025-05,22,20,2,0,2,176,158,0,90.91
66,1006,2025-06,21,20,0,1,0,168,156,0,95.24
67,1006,2025-07,23,21,1,1,1,184,169,0,91.3
68,1006,2025-08,21,21,0,0,1,168,168,0,100.0
69,1006,2025-09,22,16,3,3,3,176,124,0,72.73
70,1006,2025-10,23,21,2,0,1,184,167,0,91.3
71,1006,2025-11,20,19,0,1,2,160,152,2,95.0
72,1006,2025-12,23,23,0,0,1,184,183,1,100.0
73,1007,2025-01,23,20,1,2,1,184,166,4,86.96
74,1007,2025-02,20,19,0,1,1,160,153,0,95.0
75,1007,2025-03,21,21,0,0,1,168,167,0,100.0
76,1007,2025-04,22,19,2,1,3,176,156,6,86.36
77,1007,2025-05,22,21,0,1,1,176,169,0,95.45
78,1007,2025-06,21,20,1,0,1,168,158,0,95.24
79,1007,2025-07,23,21,1,1,2,184,165,0,91.3
80,1007,2025-08,21,18,2,1,2,168,147,1,85.71
81,1007,2025-09,22,22,0,0,2,176,177,0,100.0
82,1007,2025-10,23,23,0,0,0,184,193,8,100.0
83,1007,2025-11,20,19,1,0,2,160,151,0,95.0
84,1007,2025-12,23,22,0,1,1,184,175,0,95.65
85,1008,2025-01,23,22,1,0,1,184,173,1,95.65
86,1008,2025-02,20,18,0,2,1,160,142,0,90.0
87,1008,2025-03,21,18,2,1,3,168,144,0,85.71
88,1008,2025-04,22,22,0,0,2,176,177,0,100.0
89,1008,2025-05,22,21,1,0,1,176,172,7,95.45
90,1008,2025-06,21,20,1,0,2,168,162,0,95.24
91,1008,2025-07,23,23,0,0,0,184,183,1,100.0
92,1008,2025-08,21,20,1,0,0,168,162,0,95.24
93,1008,2025-09,22,21,0,1,1,176,166,0,95.45
94,1008,2025-10,23,22,0,1,0,184,177,0,95.65
95,1008,2025-11,20,17,3,0,3,160,133,0,85.0
96,1008,2025-12,23,23,0,0,0,184,187,4,100.0
97,1009,2025-01,23,22,0,1,1,184,173,0,95.65
98,1009,2025-02,20,19,1,0,1,160,153,0,95.0
99,1009,2025-03,21,21,0,0,2,168,172,4,100.0
100,1009,2025-04,22,22,0,0,1,176,172,0,100.0
101,1009,2025-05,22,22,0,0,1,176,177,0,100.0
102,1009,2025-06,21,21,0,0,1,168,168,0,100.0
103,1009,2025-07,23,22,0,1,1,184,178,0,95.65
104,1009,2025-08,21,19,2,0,1,168,158,4,90.48
105,1009,2025-09,22,22,0,0,0,176,183,5,100.0
106,1009,2025-10,23,21,0,2,3,184,169,0,91.3
107,1009,2025-11,20,19,0,1,1,160,148,0,95.0
108,1009,2025-12,23,18,5,0,2,184,140,0,78.26
109,1010,2025-01,23,23,0,0,2,184,185,0,100.0
110,1010,2025-02,20,17,2,1,2,160,135,0,85.0
111,1010,2025-03,21,17,3,1,2,168,137,0,80.95
112,1010,2025-04,22,21,1,0,0,176,168,3,95.45
113,1010,2025-05,22,22,0,0,1,176,179,2,100.0
114,1010,2025-06,21,20,0,1,2,168,161,0,95.24
115,1010,2025-07,23,22,1,0,1,184,176,3,95.65
116,1010,2025-08,21,20,0,1,0,168,157,0,95.24
117,1010,2025-09,22,21,0,1,0,176,172,8,95.45
118,1010,2025-10,23,21,2,0,3,184,171,4,91.3
119,1010,2025-11,20,17,3,0,3,160,134,0,85.0
120,1010,2025-12,23,22,1,0,1,184,172,0,95.65
121,1011,2025-01,23,22,0,1,2,184,187,11,95.65
122,1011,2025-02,20,20,0,0,0,160,160,1,100.0
123,1011,2025-03,21,20,0,1,0,168,161,0,95.24
124,1011,2025-04,22,17,4,1,5,176,133,0,77.27
